student_id,event_type,registration_days_before,previous_events_registered,previous_events_attended,club_member,event_day,event_time,travel_distance_km,attended
S1080,Workshop,3,6,5,Yes,Monday,16:00,3.8,1
S1317,Hackathon,9,3,2,Yes,Saturday,14:00,5.6,0
S1486,Social,0,7,5,Yes,Sunday,14:00,3.9,1
S1397,Competition,10,0,0,Yes,Monday,18:00,10.1,1
S1168,Workshop,6,5,4,Yes,Monday,11:00,0.7,1
S1494,Workshop,6,2,1,Yes,Sunday,18:00,8.8,1
S1064,Hackathon,11,2,1,No,Friday,18:00,4,0
S1186,Talk,5,3,3,No,Saturday,,4.2,1
S1085,Hackathon,10,4,2,Yes,Sunday,14:00,3.1,1
S1125,,5,0,0,Yes,Wednesday,16:00,14.2,1
S1074,,9,6,3,No,Monday,18:00,7.7,1
S1285,Talk,9,4,1,No,Thursday,14:00,1.2,0
S1132,Workshop,12,2,1,Yes,Sunday,9:00,,0
S1069,,4,2,2,Yes,Monday,11:00,3,1
S1071,Competition,12,5,3,No,Saturday,14:00,1.6,1
S1473,Workshop,,7,5,Yes,Saturday,9:00,1,1
S1248,Social,6,7,2,Yes,Monday,9:00,1.5,1
S1031,Talk,5,3,2,No,Monday,11:00,10.8,0
S1010,,13,4,3,Yes,Friday,11:00,4.5,0
S1056,Social,10,3,1,No,Friday,11:00,9.2,0
S1322,Competition,4,3,1,Yes,Thursday,16:00,2,1
S1407,Hackathon,7,1,1,Yes,Monday,11:00,5.7,1
S1476,Social,5,1,1,Yes,Tuesday,11:00,6.8,0
S1401,Workshop,5,4,,Yes,Wednesday,14:00,12.6,0
S1173,Talk,13,1,1,No,Tuesday,14:00,6.8,1
S1377,Competition,1,3,1,Yes,Friday,11:00,3.9,0
S1483,Hackathon,12,3,3,No,Saturday,14:00,3,0
S1269,Hackathon,14,7,6,Yes,Monday,14:00,4,1
S1141,Social,2,6,6,Yes,Thursday,9:00,4.5,0
S1230,Talk,3,4,2,Yes,Saturday,18:00,3,1
S1450,Workshop,,4,3,No,,14:00,3.8,1
S1181,Hackathon,1,4,3,No,Thursday,,4.2,0
S1073,Workshop,10,3,1,Yes,Saturday,14:00,3.4,1
S1276,Talk,7,6,4,No,Tuesday,9:00,,0
S1232,Talk,0,3,2,Yes,Wednesday,16:00,5.8,1
S1209,Workshop,5,1,1,Yes,Friday,14:00,,1
S1321,Talk,2,4,2,Yes,Wednesday,18:00,6.9,1
S1267,Competition,11,8,7,Yes,Tuesday,18:00,75,1
S1154,Talk,5,3,3,Yes,Saturday,11:00,5,0
S1451,,0,4,3,Yes,Sunday,14:00,8.2,1
S1235,Workshop,13,4,2,Yes,Sunday,9:00,2.8,1
S1424,Talk,12,0,0,Yes,Tuesday,18:00,15.9,1
S1003,Competition,12,5,2,No,Monday,16:00,5.9,0
S1404,Competition,4,7,4,Yes,Thursday,11:00,2.4,1
S1302,Talk,14,4,3,Yes,Saturday,11:00,4.8,1
S1416,Hackathon,3,5,2,No,Wednesday,18:00,4.3,1
S1325,Social,10,2,,Yes,Saturday,16:00,6,0
S1368,Social,13,1,0,Yes,Sunday,18:00,9.3,1
S1251,Hackathon,11,1,1,Yes,Thursday,16:00,12.9,0
S1118,Workshop,6,4,2,No,Saturday,14:00,2.3,1
S1077,Competition,3,2,1,Yes,Friday,16:00,6.1,0
S1492,Talk,6,5,4,Yes,Friday,18:00,2.4,1
S1212,Competition,3,5,2,Yes,,9:00,0.6,1
S1105,,8,3,1,No,Sunday,14:00,6.6,1
S1034,Social,10,4,2,Yes,Monday,18:00,0.8,0
S1079,Hackathon,3,4,1,Yes,Saturday,18:00,1.2,1
S1083,Hackathon,5,1,,Yes,Thursday,14:00,8.7,1
S1470,Social,11,,2,,Wednesday,18:00,4.1,1
S1292,Workshop,12,5,3,No,Friday,16:00,1.2,1
S1001,Hackathon,4,5,4,Yes,Saturday,16:00,7.7,0
S1210,Workshop,9,6,6,No,Monday,9:00,1.6,1
S1012,Social,5,7,6,Yes,Saturday,18:00,3,1
S1229,Social,10,4,3,Yes,Tuesday,18:00,7.1,1
S1448,Competition,9,4,3,Yes,Saturday,18:00,19.9,1
S1023,Hackathon,0,7,4,No,Saturday,18:00,7.2,0
S1493,Workshop,10,3,2,Yes,Friday,18:00,8.8,0
S1078,Workshop,14,4,4,No,Thursday,14:00,8.7,1
S1094,Talk,12,4,3,,Thursday,14:00,6,1
S1155,Social,5,6,5,No,Wednesday,18:00,8,0
S1191,Workshop,10,5,4,Yes,Tuesday,14:00,8,1
S1133,Workshop,4,3,2,yes,Thursday,18:00,4.4,0
S1019,Hackathon,10,3,3,Yes,Sunday,18:00,4,0
S1339,Talk,14,6,3,No,Friday,14:00,11.4,0
S1155,Social,5,6,5,No,Wednesday,18:00,8,0
S1411,Hackathon,14,4,3,,Saturday,18:00,12.7,0
S1091,Workshop,1,3,1,Yes,Wednesday,18:00,18.6,0
S1040,Hackathon,9,4,2,Yes,Saturday,16:00,,0
S1495,Talk,,3,2,No,Thursday,16:00,7.7,1
S1047,Hackathon,9,3,2,No,Monday,18:00,8.4,0
S1395,,,8,6,Yes,Friday,14:00,7.3,0
S1195,,,5,3,Yes,Saturday,11:00,5.5,0
S1357,Workshop,12,4,2,No,Wednesday,18:00,18.9,0
S1279,Competition,6,5,5,Yes,Thursday,9:00,7,1
S1281,Social,12,5,4,Yes,Tuesday,16:00,3.3,0
S1182,Workshop,7,3,,Yes,Tuesday,9:00,4.4,1
S1273,Social,2,4,3,No,Thursday,14:00,4.7,0
S1440,Workshop,7,3,3,No,Sunday,11:00,1.3,1
S1177,Competition,2,4,3,Yes,Wednesday,18:00,7.3,0
S1070,Social,14,3,2,No,Friday,11:00,5.7,1
S1458,Talk,4,11,6,Yes,Monday,14:00,2.7,0
S1298,Workshop,8,3,2,No,Saturday,14:00,6.8,1
S1417,Hackathon,5,7,,Yes,Wednesday,18:00,4,1
S1102,Talk,5,3,2,Yes,Monday,11:00,14.3,0
S1488,Hackathon,12,7,6,No,Friday,14:00,7.5,1
S1205,Talk,6,3,2,Yes,Sunday,14:00,18.2,1
S1300,Workshop,6,5,4,Yes,Sunday,18:00,16.6,0
S1326,Competition,1,3,2,No,Monday,14:00,2.3,0
S1500,Social,8,3,3,No,Sunday,9:00,5.2,1
S1193,Social,5,2,1,Yes,Tuesday,11:00,5.4,0
S1315,Competition,13,5,,No,Thursday,11:00,8.5,1
S1183,Social,-2,3,2,Yes,Friday,18:00,0.5,0
S1398,Hackathon,2,2,1,Yes,Tuesday,11:00,7.7,1
S1348,Workshop,4,4,3,Yes,Monday,11:00,,1
S1138,Competition,8,7,5,No,Monday,11:00,1.9,
S1487,Workshop,9,3,2,Yes,Thursday,16:00,2.3,1
S1452,Talk,8,6,4,Yes,Wednesday,16:00,2.2,1
S1412,Social,0,6,5,No,Wednesday,16:00,9.9,0
S1439,Competition,13,6,4,Yes,Monday,,1,1
S1352,Competition,14,5,2,No,Tuesday,9:00,3.4,0
S1087,Competition,2,2,1,Yes,Tuesday,18:00,5.5,0
S1076,Competition,1,5,3,No,Friday,14:00,5.5,0
S1462,Talk,7,2,1,No,Wednesday,9:00,0.5,0
S1016,Workshop,9,5,4,No,Tuesday,16:00,4.1,1
S1275,Talk,10,3,3,Yes,Saturday,9:00,4.2,1
S1463,Competition,7,6,5,No,Thursday,11:00,9.5,1
S1392,Hackathon,13,2,1,No,Thursday,14:00,,0
S1020,Hackathon,14,4,3,No,Monday,18:00,1.8,1
S1334,Workshop,12,1,1,No,Wednesday,16:00,8.7,0
S1337,Competition,1,1,1,No,Friday,18:00,1.5,0
S1057,Workshop,14,4,3,Yes,Sunday,9:00,5.9,1
S1445,Competition,2,3,2,Yes,Wednesday,18:00,10.6,1
S1499,Social,,1,1,Yes,Wednesday,16:00,10,1
S1238,Workshop,,5,2,No,Wednesday,16:00,17.2,1
S1336,Workshop,13,2,1,No,Wednesday,18:00,11.7,0
S1384,Social,8,1,1,Yes,Sunday,11:00,9,1
S1484,Talk,10,3,2,No,Friday,,4.2,0
S1430,Workshop,5,9,7,No,Friday,14:00,2.6,1
S1149,Workshop,0,5,,No,Tuesday,16:00,5.8,0
S1026,Competition,3,3,3,Yes,Friday,9:00,6.5,0
S1256,Talk,5,1,1,Yes,Sunday,18:00,11.3,1
S1043,Workshop,2,4,,No,Monday,16:00,1.8,1
S1393,Hackathon,5,7,5,Yes,Tuesday,16:00,11.2,0
S1196,Hackathon,1,6,5,Yes,Tuesday,14:00,0.5,0
S1282,Hackathon,6,3,3,Yes,Monday,11:00,5.2,0
S1127,Competition,11,4,2,Yes,Tuesday,18:00,7.2,0
S1496,Hackathon,9,9,5,No,Thursday,16:00,10.7,1
S1032,Workshop,10,3,2,Yes,Tuesday,11:00,5,1
S1114,Competition,13,4,2,No,Sunday,18:00,9.4,1
S1353,Talk,5,3,2,No,Saturday,14:00,2.4,0
S1211,Talk,2,2,2,Yes,Tuesday,9:00,7.2,1
S1308,Hackathon,2,6,5,No,Sunday,18:00,3.3,1
S1058,Workshop,0,3,3,Yes,Friday,14:00,3.4,1
S1363,Hackathon,0,7,4,Yes,Monday,16:00,3.2,0
S1025,Hackathon,7,2,1,Yes,Wednesday,9:00,2.5,1
S1018,Talk,7,4,3,Yes,Friday,9:00,1.5,1
S1250,Competition,6,3,3,Yes,Friday,14:00,5.4,0
S1067,Workshop,,3,3,Yes,Tuesday,18:00,12.3,1
S1249,Social,13,4,2,Yes,Sunday,14:00,17.3,0
S1156,,13,4,1,No,Wednesday,16:00,3.6,0
S1095,Competition,10,1,1,No,Monday,18:00,3.9,0
S1246,Social,7,5,5,Yes,Wednesday,18:00,8.8,1
S1433,Talk,8,3,2,Yes,Sunday,18:00,12.9,0
S1024,Hackathon,13,2,1,Yes,Tuesday,14:00,3.2,1
S1318,Workshop,2,8,6,,Tuesday,9:00,16.8,1
S1480,Talk,3,3,3,Yes,Tuesday,16:00,3.4,1
S1324,Workshop,1,2,2,No,Saturday,14:00,12.2,0
S1006,Workshop,14,3,2,Yes,Friday,18:00,1.9,1
S1117,Competition,10,1,1,No,Tuesday,14:00,6,1
S1046,Talk,5,5,2,YES,Tuesday,18:00,5.8,
S1311,Hackathon,11,6,4,No,Wednesday,14:00,16.1,0
